UF; Alienacoes; Permissao; Cessao; Aluguel ; Arrendamento ; Foro ; Laudemio ; Taxa_ocupacao; Outras_receitas ; DAU_SPU 
AC;0;0;17483;0;0;0;0;87240;0;4229
AL;0;0;0;0;102523;164952;964010;5167113;819104;499224
AM;0;0;273695;15131;0;267285;2389;1462823;89234;95825
AP;0;0;0;0;0;35866;0;15430;2651;4719
BA;0;1430;279275;2988;0;1812925;1847563;6972054;1895669;896560
CE;90000;0;0;168680;0;3593505;653743;2690538;1022087;668971
DF;24496435;0;0;158097;0;4715;229593;3358018;3662063;367435
ES;618000;0;1130806;13950;0;5859861;2528239;12260512;4107292;1566651
GO;810823;0;0;62;9210;0;26578;135083;60904;67888
MA;0;0;0;0;39528;1607253;824785;324364;1048653;920548
MG;2220201;7675;47381;221088;0;57484;0;37020;153899;240950
MS;463751;0;1346334;75663;3110;0;1896;218652;33155;37465
MT;0;0;39844;232;0;1730;23859;217931;39522;20370
PA;3069787;6710;0;437;0;112416;80043;1057050;230115;185698
PB;0;0;0;0;0;1020687;941576;4930756;1046543;465706
PE;3534283;807;0;2459;0;10187840;5455632;21464922;4521175;3596810
PI;0;0;0;1826;0;579069;176311;986441;252828;230130
PR;20378779;0;228575;88623;5134963;462773;465323;6555049;760074;607990
RJ;0;0;0;374979;1297730;39862461;20649882;57045547;18800441;11408622
RN;202656;2115;8219;6407;0;468196;316462;1518974;469578;172533
RO;0;0;0;6713;0;3649;31533;101100;10651;8345
RR;0;0;0;0;0;0;0;22531;2507;0
RS;129350;0;302332;150701;691314;1439853;1319552;2856355;1020379;850499
SC;0;0;0;11273;1410716;2965760;5352372;31764494;2576808;1956026
SE;0;0;1739;2178;0;4091741;1064077;3468924;1062535;651579
SP;2438450;0;2912415;3848912;44036;41532399;25034948;27336217;8328669;3885340
TO;127824;0;0;0;0;451;868;15410;1595;1584
